observation.date	ffd	outputgap	cpi	expinflation	inflationgap
01/01/1980	15.07	-0.08	14.21	2.00	12.21
01/04/1980	12.67	-2.72	14.43	2.00	12.43
01/07/1980	9.82	-3.34	12.94	2.00	10.94
01/10/1980	15.85	-2.07	12.54	2.00	10.54
01/01/1981	16.60	-0.71	11.26	2.00	9.26
01/04/1981	17.79	-2.07	9.87	2.00	7.87
01/07/1981	17.59	-1.57	10.85	2.00	8.85
01/10/1981	13.59	-3.33	9.58	2.00	7.58
01/01/1982	14.21	-5.53	7.58	2.00	5.58
01/04/1982	14.51	-5.80	6.91	2.00	4.91
01/07/1982	11.01	-6.87	5.82	2.00	3.82
01/10/1982	9.28	-7.55	4.44	2.00	2.44
01/01/1983	8.66	-7.04	3.59	2.00	1.59
01/04/1983	8.80	-5.66	3.30	2.00	1.30
01/07/1983	9.46	-4.53	2.53	2.00	0.53
01/10/1983	9.43	-3.34	3.23	2.00	1.23
01/01/1984	9.69	-2.28	4.63	2.00	2.63
01/04/1984	10.55	-1.46	4.40	2.00	2.40
01/07/1984	11.39	-1.39	4.30	2.00	2.30
01/10/1984	9.26	-1.47	4.15	2.00	2.15
01/01/1985	8.48	-1.41	3.64	2.00	1.64
01/04/1985	7.92	-1.43	3.61	2.00	1.61
01/07/1985	7.90	-0.81	3.35	2.00	1.35
01/10/1985	8.10	-0.94	3.51	2.00	1.51
01/01/1986	7.83	-0.88	3.11	2.00	1.11
01/04/1986	6.92	-1.27	1.68	2.00	-0.32
01/07/1986	6.21	-1.16	1.67	2.00	-0.33
01/10/1986	6.27	-1.45	1.35	2.00	-0.65
01/01/1987	6.22	-1.53	2.04	2.00	0.04
01/04/1987	6.65	-1.26	3.70	2.00	1.70
01/07/1987	6.84	-1.20	4.16	2.00	2.16
01/10/1987	6.92	-0.29	4.41	2.00	2.41
01/01/1988	6.67	-0.56	3.97	2.00	1.97
01/04/1988	7.15	-0.04	3.98	2.00	1.98
01/07/1988	7.98	-0.23	4.14	2.00	2.14
01/10/1988	8.47	0.32	4.31	2.00	2.31
01/01/1989	9.45	0.56	4.67	2.00	2.67
01/04/1989	9.73	0.56	5.16	2.00	3.16
01/07/1989	9.08	0.63	4.71	2.00	2.71
